timestamp, frame, x, y, z, qx, qy, qz, qw
258531.013687416, 000161, -0.16180006, 0.30541253, -0.5324979, 0.98987144, 0.001003486, -0.14191906, -0.0035320588
258531.030355625, 000162, -0.1633126, 0.30583173, -0.54061973, 0.98982745, 0.0005286923, -0.1422548, -0.0022086909
258531.047023416, 000163, -0.16431695, 0.30614915, -0.5472505, 0.9898331, -0.00014357945, -0.142225, -0.0015466975
258531.063691416, 000164, -0.16589583, 0.3066249, -0.5547809, 0.98988307, -0.0008691593, -0.14187515, -0.0014625284
258531.080359416, 000165, -0.16776748, 0.30710396, -0.5625528, 0.98989886, -0.0014848019, -0.14175679, -0.0017301483
258531.097027375, 000166, -0.1698593, 0.30748594, -0.5703724, 0.98987436, -0.0018033967, -0.14192393, -0.001748806
258531.113695208, 000167, -0.17213376, 0.3077423, -0.5781722, 0.98978233, -0.0018729316, -0.14256813, -0.0012981783
258531.13036325, 000168, -0.17458376, 0.30790085, -0.5859359, 0.9895989, -0.0018686428, -0.14383925, -0.00088295626
258531.147031291, 000169, -0.17706269, 0.30853185, -0.59224284, 0.98936915, -0.0018235996, -0.14541295, -0.0006031795
258531.163699458, 000170, -0.1798861, 0.3085832, -0.5995196, 0.9891513, -0.0017240008, -0.14689012, -0.00022175563
258531.180367291, 000171, -0.18297039, 0.30832243, -0.6071144, 0.9889507, -0.0015521265, -0.14823578, 0.00039736694
258531.197035166, 000172, -0.18629035, 0.30788538, -0.61483854, 0.98878855, -0.0014717103, -0.14931019, 0.0012521876
258531.213703083, 000173, -0.18983279, 0.30734307, -0.6226377, 0.98865867, -0.0015108446, -0.15015756, 0.0021208962
258531.230371166, 000174, -0.19358732, 0.30669665, -0.6304542, 0.9885502, -0.0014757407, -0.15086138, 0.0026789643
258531.247039208, 000175, -0.19755001, 0.30588895, -0.63827807, 0.9884832, -0.0013550108, -0.15129732, 0.0028529544
258531.263707041, 000176, -0.20172226, 0.3048727, -0.64615124, 0.98845714, -0.0010781377, -0.15146342, 0.003162707
258531.280375, 000177, -0.20443137, 0.30440578, -0.6516775, 0.98843306, -0.0007341808, -0.15162008, 0.0033011525
258531.29704325, 000178, -0.20839535, 0.30331442, -0.65874076, 0.9884385, -0.0005319054, -0.15159658, 0.0027294536
258531.313711083, 000179, -0.21285821, 0.30195472, -0.6662711, 0.9884926, -0.0005094721, -0.15125874, 0.0016900859
258531.330379, 000180, -0.21760233, 0.3004126, -0.6739416, 0.9885496, -0.0004700867, -0.15089448, 0.00058252463
258531.347046958, 000181, -0.22255579, 0.29872274, -0.68161637, 0.9885599, -0.0003759119, -0.15082733, -0.00045334207
258531.363714958, 000182, -0.22770412, 0.29692274, -0.68925375, 0.98852426, -0.00027090486, -0.15105915, -0.0009476735
258531.380382916, 000183, -0.232982, 0.29572028, -0.6973363, 0.98844707, -0.00015489073, -0.1515637, -0.00091018574
258531.397050916, 000184, -0.23850088, 0.29404867, -0.7051014, 0.9883664, -5.711217e-06, -0.1520905, -0.0005536659
258531.413718875, 000185, -0.24421452, 0.29229563, -0.71278834, 0.98831993, 0.0001078184, -0.15239291, -0.00035095314
258531.430387083, 000186, -0.25006908, 0.29061624, -0.72045696, 0.98831904, 0.00016182283, -0.15239714, -0.00070643175
258531.447054875, 000187, -0.2560495, 0.2890735, -0.72812504, 0.9883802, 0.00018511499, -0.15199366, -0.0015408552
258531.463722833, 000188, -0.26212627, 0.28771418, -0.7357363, 0.9884771, 9.141726e-05, -0.15134342, -0.00284124
258531.48039075, 000189, -0.2675706, 0.28622013, -0.74334, 0.9886243, -0.00017858382, -0.15035576, -0.0038822845
258531.497058833, 000190, -0.2735868, 0.2849372, -0.7507891, 0.98884827, -0.00042385515, -0.1488719, -0.003991737
258531.513726708, 000191, -0.2798142, 0.2837819, -0.75809306, 0.98912567, -0.00033023139, -0.14703125, -0.0034656997
258531.530394916, 000192, -0.2860763, 0.28287488, -0.76523334, 0.98940516, 4.322164e-06, -0.14514568, -0.003176741
258531.547062625, 000193, -0.29232422, 0.28229764, -0.77232176, 0.989657, 0.0005639994, -0.14342436, -0.0028525598
258531.563730583, 000194, -0.2985645, 0.28205138, -0.7794363, 0.9898617, 0.0012619026, -0.14201102, -0.0022332617
258531.580398666, 000195, -0.3047127, 0.2822914, -0.7864105, 0.98999524, 0.0017764074, -0.14106987, -0.0023453545
258531.597066666, 000196, -0.31085393, 0.28275782, -0.79344285, 0.99005234, 0.0017890221, -0.14065571, -0.0030137834
258531.6137345, 000197, -0.3169883, 0.28345495, -0.80050796, 0.99006116, 0.0013978303, -0.14057285, -0.004016533
258531.630402583, 000198, -0.3231036, 0.2843393, -0.8076469, 0.99001884, 0.000882428, -0.14086439, -0.0043673976
258531.6470705, 000199, -0.3296294, 0.2852106, -0.8146397, 0.9899856, 0.00038970602, -0.14111026, -0.004039108
258531.66373875, 000200, -0.33579585, 0.28615856, -0.8218809, 0.9900683, -0.00010529579, -0.14055131, -0.0031616644
258531.680406333, 000201, -0.34178302, 0.28715795, -0.8292718, 0.99032193, -0.00074202544, -0.13877511, -0.0018455222
258531.6970745, 000202, -0.34762383, 0.28821415, -0.8366937, 0.990622, -0.0015824069, -0.13662073, -0.00044793586
258531.713742416, 000203, -0.35331818, 0.2893277, -0.844112, 0.9908975, -0.0025620954, -0.13458838, 0.0012142911
